"","Moyenne","Ecart_Type"
"zero_no",0.63600181510882,0.486479534794958
"high_no",0.416844810021761,0.328647769244021
"high_yes",0.759005124506653,0.360013027998121
"low_no",0.599849157413005,0.562491910368081
"low_yes",0.475263122646913,0.461575090593339
"zero_yes",0.231963944166836,0.215132079196477
