"","Moyenne","Ecart_Type"
"zero_no",0.321149465379498,0.227750656378236
"high_no",0.197663654554069,0.155250505977186
"high_yes",0.384098185873121,0.164904515406966
"low_no",0.309855312767341,0.268391345698641
"low_yes",0.241254673526015,0.242920255088517
"zero_yes",0.1129138968001,0.115582518543562
