time,code,class,duration
341.064,Single antennal touch,2,
363.579,Random bump,1,
379.825,Random bump,1,
777.814,Random bump,1,
844.233,Random bump,1,
915.738,head-to-head-interaction,6,7.380999999999972
931.057,Single antennal touch,2,
1178.594,head-to-head-interaction,6,4.350999999999885
1205.556,Single antennal touch,2,
1227.647,Random bump,1,
1257.34,Random bump,1,
1288.062,Single antennal touch,2,
1315.163,Random bump,1,
1361.1,Random bump,1,
1415.334,Single antennal touch,2,
1439.941,Random bump,1,
1489.524,Random bump,1,
1510.953,Random bump,1,
1674.753,Single antennal touch,2,
1691.234,Random bump,1,
1703.516,Single antennal touch,2,
1731.083,Random bump,1,
1765.712,Single antennal touch,2,
1786.32,Single antennal touch,2,
1793.86,Avoidance,5,
1831.443,Single antennal touch,2,
1834.843,Random bump,1,
1838.546,Random bump,1,
1838.864,END,0,
