time,code,class,duration
68.173,Random bump,1,
106.344,Avoidance,5,
127.733,Single antennal touch,2,
137.552,Single antennal touch,2,
379.183,Single antennal touch,2,
389.247,Random bump,1,
556.874,Single antennal touch,2,
566.196,Single antennal touch,2,
648.273,Single antennal touch,2,
657.305,Single antennal touch,2,
731.609,Single antennal touch,2,
743.828,Single antennal touch,2,
764.282,Single antennal touch,2,
776.305,Single antennal touch,2,
784.324,Single antennal touch,2,
814.869,Single antennal touch,2,
822.475,Random bump,1,
831.411,Single antennal touch,2,
853.12,Single antennal touch,2,
874.739,head-to-head-interaction,6,2.227999999999952
893.072,head-to-head-interaction,6,2.893000000000029
901.414,head-to-head-interaction,6,3.397000000000048
932.032,Single antennal touch,2,
951.673,Random bump,1,
967.118,Single antennal touch,2,
975.555,head-to-head-interaction,6,19.47700000000009
1012.781,Random bump,1,
1021.221,Single antennal touch,2,
1123.667,Avoidance,5,
1132.383,Single antennal touch,2,
1169.047,Single antennal touch,2,
1221.959,Random bump,1,
1229.933,Random bump,1,
1232.52,Single antennal touch,2,
1240.494,Random bump,1,
1244.477,head-to-head-interaction,6,5.563999999999851
1271.513,Single antennal touch,2,
1290.975,Single antennal touch,2,
1303.429,Single antennal touch,2,
1379.588,Random bump,1,
1387.441,head-to-head-interaction,6,13.233999999999924
1451.323,Random bump,1,
1452.854,Random bump,1,
1469.165,Single antennal touch,2,
1471.485,Random bump,1,
1498.255,Avoidance,5,
1510.807,Single antennal touch,2,
1520.535,Single antennal touch,2,
1551.364,Single antennal touch,2,
1593.871,Random bump,1,
1604.237,Single antennal touch,2,
1643.863,Single antennal touch,2,
1666.711,Avoidance,5,
1740.688,Single antennal touch,2,
1809.72,Single antennal touch,2,
1817.396,Single antennal touch,2,
1883.09,Random bump,1,
1896.094,Avoidance,5,
1911.682,Random bump,1,
1978.516,END,0,
