time,code,class,duration
18.499,Random bump,1,
42.447,Single antennal touch,2,
55.257,Single antennal touch,2,
60.175,Random bump,1,
97.977,Single antennal touch,2,
113.128,Avoidance,5, 
152.762,Single antennal touch,2,
173.245,Random bump,1,
181.448,Single antennal touch,2,
188.177,Single antennal touch,2,
195.363,Single antennal touch,2,
201.53,Avoidance,5,
279.508,Single antennal touch,2,
317.656,Avoidance,5,
381.626,head-to-head-interaction,6,1.816000000000031
435.476,Random bump,1,
478.84,Random bump,1,
523.081,Random bump,1,
532.819,Single antennal touch,2,
537.424,Single antennal touch,2,
576.619,Single antennal touch,2,
579.964,Single antennal touch,2,
603.854,Single antennal touch,2,
619.202,Random bump,1,
710.002,Random bump,1,
811.537,Single antennal touch,2,
814.097,Random bump,1, 
822.078,Single antennal touch,2,
827.199,Single antennal touch,2,
845.204,Single antennal touch,2,
849.811,Random bump,1,
899.686,Avoidance,5,
929.384,Random bump,1,
1024.83,Single antennal touch,2,
1249.431,Random bump,1,
1286.885,Single antennal touch,2,
1293.031,Single antennal touch,2,
1299.432,Random bump,1,
1326.098,head-to-head-interaction,6,1.586999999999989
1340.153,Avoidance,5,
1344.832,Single antennal touch,2,
1394.6,Avoidance,5,
1475.028,Random bump,1,
1612.531,Single antennal touch,2,
1674.261,Single antennal touch,2,
1690.13,Random bump,1,
1719.265,Random bump,1,
1731.227,Avoidance,5,
1735.628,Single antennal touch,2,
1764.667,Single antennal touch,2,
1780.72,Single antennal touch,2,
1815.522,END,0,
