time,code,class,duration
7.305,Single antennal touch,2,
68.354,Single antennal touch,2,
172.002,Random bump,1,
184.849,Single antennal touch,2,
203.6,Avoidance,5,
241.99,Random bump,1,
244.091,Single antennal touch,2,
296.032,Avoidance,5,
314.188,Single antennal touch,2,
320.008,Random bump,1,
384.956,Single antennal touch,2,
395.269,Random bump,1,
418.054,Single antennal touch,2,
427.223,head-to-head-interaction,6,1.6639999999999873
447.941,Single antennal touch,2,
531.912,Random bump,1,
568.549,Single antennal touch,2,
595.703,Random bump,1, 
699.793,Single antennal touch,2,
710.336,Avoidance,5,
715.981,Random bump,1,
727.27,Random bump,1,
776.67,Single antennal touch,2,
789.007,Single antennal touch,2,
800.776,Single antennal touch,2,
813.326,Single antennal touch,2,
855.311,Single antennal touch,2,
869.129,Single antennal touch,2,
879.093,Random bump,1,
1120.165,Random bump,1,
1132.454,Single antennal touch,2,
1138.913,Single antennal touch,2,
1149.219,Single antennal touch,2,
1210.768,Random bump,1,
1332.983,head-to-head-interaction,6,2.893000000000029
1357.0,Single antennal touch,2,
1365.966,Avoidance,5,
1390.284,Random bump,1,
1395.153,Random bump,1,
1403.06,Single antennal touch,2,
1448.827,Single antennal touch,2,
1459.323,Random bump,1,
1468.535,Random bump,1,
1521.81,Random bump,1,
1523.604,Single antennal touch,2,
1547.648,Random bump,1,
1616.017,Single antennal touch,2,
1758.39,Single antennal touch,2,
1827.18,END,0,
