time,code,class,duration
35.002,Avoidance,5,
122.03,Single antennal touch,2,
248.098,Avoidance,5,
273.27,Single antennal touch,2,
332.838,Random bump,1,
435.637,Single antennal touch,2,
443.533,Single antennal touch,2,
473.589,Single antennal touch,2,
482.092,Single antennal touch,2,
525.351,Random bump,1,
538.057,Random bump,1,
650.533,Random bump,1,
683.927,Single antennal touch,2,
698.777,Single antennal touch,2,
739.995,Random bump,1,
758.263,Random bump,1,
1015.8,Random bump,1,
1065.468,Random bump,1,
1072.095,Single antennal touch,2,
1080.202,Avoidance,5,
1129.873,Random bump,1,
1178.248,Single antennal touch,2,
1243.024,Single antennal touch,2,
1370.752,Random bump,1,
1460.155,Single antennal touch,2,
1491.952,Random bump,1,
1514.371,Random bump,1,
1637.327,Single antennal touch,2,
1645.995,Random bump,1,
1717.668,Single antennal touch,2,
1737.628,Random bump,1,
1768.357,Single antennal touch,2,
1787.707,Random bump,1,
1827.179,END,0,
