time,code,class,duration
833.893,Single antennal touch,2,
852.562,Single antennal touch,2,
952.232,Single antennal touch,2,
972.557,Avoidance,5,
997.598,head-to-head-interaction,6,1.7950000000000728
1017.126,Random bump,1,
1135.399,Single antennal touch,2,
1172.697,Random bump,1,
1232.914,Single antennal touch,2,
1243.672,Random bump,1,
1245.015,head-to-head-interaction,6,4.24799999999982
1279.541,Avoidance,5,
1317.797,Single antennal touch,2,
1338.262,Random bump,1,
1351.973,Single antennal touch,2,
1417.904,Random bump,1,
1429.363,Random bump,1,
1442.339,Random bump,1,
1515.089,Single antennal touch,2,
1526.373,Single antennal touch,2,
1569.322,Random bump,1,
1700.176,Random bump,1,
1714.001,Random bump,1,
1723.027,Random bump,1,
1752.289,Single antennal touch,2,
1758.766,Random bump,1,
1782.843,Random bump,1,
1796.494,Random bump,1,
1826.76,END,0,
