time,code,class,duration
25.662,Single antennal touch,2,
35.907,Single antennal touch,2,
77.997,Random bump,1,
93.447,Random bump,1,
110.921,Avoidance,5,
220.854,Single antennal touch,2,
230.407,Single antennal touch,2,
235.767,Single antennal touch,2,
263.888,Single antennal touch,2,
386.785,Single antennal touch,2,
390.897,Single antennal touch,2,
404.155,head-to-head-interaction,6,3.8490000000000464
411.59,Random bump,1,
421.471,Avoidance,5,
504.356,Random bump,1,
533.549,Single antennal touch,2,
681.903,Avoidance,5,
744.353,Single antennal touch,2,
1302.057,Single antennal touch,2,
1309.997,Single antennal touch,2,
1341.212,Single antennal touch,2,
1343.246,Single antennal touch,2,
1372.967,Single antennal touch,2,
1396.488,head-to-head-interaction,6,3.5850000000000364
1423.022,Single antennal touch,2,
1591.441,Random bump,1,
1796.333,Single antennal touch,2,
1811.679,Single antennal touch,2,
1822.702,Single antennal touch,2,
1840.185,END,0,
