time,code,class,duration
336.034,Single antennal touch,2,
1113.718,Single antennal touch,2,
1124.865,Single antennal touch,2,
1129.99,head-to-head-interaction,6,8.163000000000011
1150.847,Single antennal touch,2,
1155.964,Random bump,1,
1158.365,head-to-head-interaction,6,4.355000000000018
1170.834,Single antennal touch,2,
1181.001,Random bump,1,
1191.611,Random bump,1,
1193.757,Single antennal touch,2,
1202.724,Random bump,1,
1245.679,head-to-head-interaction,6,10.673999999999978
1259.486,Single antennal touch,2,
1265.832,head-to-head-interaction,6,3.8509999999998854
1283.667,head-to-head-interaction,6,3.586999999999989
1324.555,Single antennal touch,2,
1331.486,Single antennal touch,2,
1340.046,head-to-head-interaction,6,7.906999999999925
1349.151,head-to-head-interaction,6,6.59699999999998
1358.586,Random bump,1,
1464.538,head-to-head-interaction,6,6.3810000000000855
1472.998,Random bump,1,
1480.706,head-to-head-interaction,6,2.3190000000001874
1488.547,Single antennal touch,2,
1491.114,Random bump,1,
1494.776,head-to-head-interaction,6,2.838999999999942
1503.299,Random bump,1,
1517.286,Single antennal touch,2,
1742.891,Single antennal touch,2,
1856.865,Single antennal touch,2,
1858.121,END,0,
