time,code,class,duration
119.157,Single antennal touch,2,
125.615,Random bump,1,
286.613,Single antennal touch,2,
450.563,head-to-head-interaction,6,3.391999999999996
468.069,Single antennal touch,2,
481.254,head-to-head-interaction,6,3.284999999999968
942.422,head-to-head-interaction,6,4.956999999999994
951.613,Random bump,1,
1020.943,Random bump,1,
1037.821,Random bump,1,
1066.96,Single antennal touch,2,
1080.498,Single antennal touch,2,
1109.8,Single antennal touch,2,
1133.467,Single antennal touch,2,
1545.06,Random bump,1,
1599.765,Single antennal touch,2,
1613.215,Single antennal touch,2,
1700.537,Single antennal touch,2,
1815.522,END,0,
