time,code,class,duration
9.064,Random bump,1,
19.529,Random bump,1,
29.159,Avoidance,5,
97.149,Single antennal touch,2,
109.938,Random bump,1,
112.494,Single antennal touch,2,
127.036,Random bump,1,
159.858,Random bump,1,
164.035,Random bump,1,
196.837,Random bump,1,
236.449,Single antennal touch,2,
257.905,Avoidance,5,
271.738,Single antennal touch,2,
319.756,Single antennal touch,2,
342.267,Single antennal touch,2,
361.697,Random bump,1,
383.43,head-to-head-interaction,6,4.435000000000002
430.803,Random bump,1,
490.068,Random bump,1,
501.285,Random bump,1,
542.204,Random bump,1,
683.665,Random bump,1,
699.002,Random bump,1,
711.178,Single antennal touch,2,
727.246,Avoidance,5, 
747.667,Random bump,1,
791.008,Single antennal touch,2,
843.992,Random bump,1,
900.244,Random bump,1,
930.213,Random bump,1,
978.041,Avoidance,5, 
995.99,head-to-head-interaction,6,2.4689999999999372
1033.14,Random bump,1,
1465.614,Single antennal touch,2,
1503.911,Random bump,1,
1521.27,head-to-head-interaction,6,2.66599999999994
1584.304,Single antennal touch,2,
1599.9,Single antennal touch,2,
1601.448,Random bump,1,
1615.885,head-to-head-interaction,6,4.2349999999999
1649.979,Random bump,1,
1656.744,Single antennal touch,2,
1698.771,head-to-head-interaction,6,2.9149999999999636
1712.586,Single antennal touch,2,
1714.322,Single antennal touch,2, 
1720.464,Random bump,1,
1731.215,Single antennal touch,2,
1740.921,head-to-head-interaction,6,2.5190000000000055
1754.339,Single antennal touch,2,
1803.134,Random bump,1,
1815.522,END,0,
