time,code,class,duration
29.508,Single antennal touch,2,
30.689,head-to-head-interaction,6,3.323999999999998
42.779,Single antennal touch,2,
58.792,Single antennal touch,2,
93.792,Random bump,1,
124.054,Single antennal touch,2,
138.369,Random bump,1,
160.168,Random bump,1,
248.011,Random bump,1,
351.232,Single antennal touch,2,
356.371,Single antennal touch,2,
413.266,Random bump,1,
422.013,Single antennal touch,2,
447.611,Single antennal touch,2,
449.663,Single antennal touch,2,
465.735,Single antennal touch,2,
491.151,Single antennal touch,2,
536.766,Random bump,1,
554.668,Random bump,1,
582.667,Single antennal touch,2,
636.072,Random bump,1,
652.15,Random bump,1,
663.906,Single antennal touch,2,
695.977,Single antennal touch,2,
729.169,Single antennal touch,2,
734.29,Random bump,1,
828.894,Single antennal touch,2,
849.042,Single antennal touch,2,
870.693,Single antennal touch,2,
876.342,Single antennal touch,2,
904.936,Single antennal touch,2,
980.307,Single antennal touch,2,
1040.833,Single antennal touch,2,
1048.779,Random bump,1,
1098.362,Random bump,1,
1101.949,Random bump,1,
1113.979,Random bump,1,
1219.865,Single antennal touch,2,
1308.371,Random bump,1,
1347.023,Random bump,1,
1373.239,Random bump,1,
1390.189,Random bump,1,
1412.755,Single antennal touch,2, 
1415.632,Random bump,1,
1430.202,Single antennal touch,2,
1441.232,Single antennal touch,2,
1469.524,Single antennal touch,2,
1505.107,Random bump,1,
1510.034,Random bump,1,
1557.972,Single antennal touch,2,
1565.949,Random bump,1,
1662.342,Random bump,1,
1684.296,Random bump,1,
1711.169,Single antennal touch,2,
1717.542,Random bump,1,
1747.535,Single antennal touch,2,
1759.557,Random bump,1,
1804.098,Random bump,1,
1815.522,END,0,
