time,code,class,duration
19.92,Random bump,1,
64.525,Single antennal touch,2,
120.59,Single antennal touch,2,
283.73,Random bump,1,
328.068,Avoidance,5,
375.393,Single antennal touch,2,
388.22,Single antennal touch,2,
393.701,Single antennal touch,2,
404.666,Single antennal touch,2,
520.377,Random bump,1,
530.959,Avoidance,5,
542.555,Single antennal touch,2,
579.279,Single antennal touch,2,
592.406,Single antennal touch,2,
609.81,Single antennal touch,2,
617.047,Single antennal touch,2,
628.412,Single antennal touch,2,
640.199,Single antennal touch,2,
683.473,Single antennal touch,2,
698.254,Random bump,1,
720.408,Single antennal touch,2,
777.566,Avoidance,5,
1157.219,Avoidance,5,
1214.611,Random bump,1,
1307.075,Single antennal touch,2,
1331.653,Single antennal touch,2,
1355.601,Single antennal touch,2,
1363.693,head-to-head-interaction,6,2.4039999999999964
1826.824,END,0,
