time,code,class,duration
172.065,Random bump,1,
206.307,Random bump,1,
276.619,Single antennal touch,2,
295.183,Single antennal touch,2,
340.913,Single antennal touch,2,
363.005,Single antennal touch,2,
384.265,Single antennal touch,2,
402.463,Single antennal touch,2,
432.386,Avoidance,5,
454.738,Random bump,1,
460.914,Avoidance,5,
506.908,Single antennal touch,2,
547.633,Random bump,1,
600.376,Random bump,1,
617.416,Random bump,1,
633.811,Single antennal touch,2,
658.189,Single antennal touch,2,
681.449,Random bump,1,
698.953,Random bump,1,
750.262,Single antennal touch,2,
791.35,Random bump,1,
985.477,Random bump,1,
1000.224,head-to-head-interaction,6,3.324999999999932
1012.845,Random bump,1,
1025.133,Random bump,1,
1120.255,Single antennal touch,2,
1163.549,Single antennal touch,2,
1184.882,Single antennal touch,2,
1227.232,Single antennal touch,2,
1234.928,Single antennal touch,2,
1274.761,Single antennal touch,2,
1557.202,Random bump,1,
1592.375,Random bump,1,
1658.789,Single antennal touch,2,
1702.343,Random bump,1,
1717.386,head-to-head-interaction,6,2.8230000000000928
1747.279,Single antennal touch,2,
1772.351,Avoidance,5,
1817.16,Single antennal touch,2,
1830.323,Random bump,1,
1840.28,END,0,
