time,code,class,duration
0.528,Single antennal touch,2,
10.534,Single antennal touch,2,
23.587,Random bump,1,
54.391,Single antennal touch,2,
80.97,Random bump,1,
105.018,Random bump,1,
163.807,Random bump,1,
166.886,Random bump,1,
179.265,head-to-head-interaction,6,4.4080000000000155
196.346,Single antennal touch,2,
214.265,Random bump,1,
253.67,Single antennal touch,2,
292.048,Random bump,1,
323.418,Random bump,1,
349.171,Random bump,1,
529.586,Single antennal touch,2,
593.766,Single antennal touch,2,
604.641,Single antennal touch,2,
825.323,Random bump,1,
1826.313,END,0,
