time,code,class,duration
26.5,Random bump,1,
28.652,Single antennal touch,2,
38.884,Single antennal touch,2,
42.808,Random bump,1,
134.165,Single antennal touch,2,
155.831,Single antennal touch,2,
300.973,Single antennal touch,2,
321.187,Single antennal touch,2,
340.377,Single antennal touch,2,
1449.557,Single antennal touch,2,
1485.32,Single antennal touch,2,
1504.865,head-to-head-interaction,6,1.7590000000000146
1517.244,head-to-head-interaction,6,1.7740000000001146
1531.582,Single antennal touch,2,
1546.709,Single antennal touch,2,
1562.842,Random bump,1,
1566.64,Random bump,1,
1608.916,Random bump,1,
1612.567,Single antennal touch,2,
1978.61,END,0,
