time,code,class,duration
86.893,Single antennal touch,2,
119.044,Random bump,1,
137.886,Single antennal touch,2,
152.2,Single antennal touch,2,
174.215,Single antennal touch,2,
185.98,Random bump,1,
190.341,head-to-head-interaction,6,3.4659999999999798
212.876,Single antennal touch,2,
233.297,Single antennal touch,2,
241.633,head-to-head-interaction,6,4.822000000000003
266.412,Single antennal touch,2,
325.169,Single antennal touch,2,
360.935,Single antennal touch,2,
492.556,Single antennal touch,2,
508.099,Random bump,1,
514.385,Avoidance,5,
535.299,Single antennal touch,2,
539.449,Single antennal touch,2,
598.785,Single antennal touch,2,
678.163,Random bump,1,
732.926,Single antennal touch,2,
738.013,Single antennal touch,2,
744.476,head-to-head-interaction,6,2.1580000000000155
750.833,Random bump,1,
770.363,Random bump,1,
776.008,Random bump,1,
812.121,Single antennal touch,2,
827.19,Random bump,1,
837.739,Single antennal touch,2,
965.81,Single antennal touch,2,
985.548,Random bump,1,
1001.824,Random bump,1,
1025.172,Single antennal touch,2,
1037.515,Random bump,1,
1087.668,Single antennal touch,2,
1104.318,Single antennal touch,2,
1111.9,Random bump,1,
1143.802,Single antennal touch,2,
1182.131,Random bump,1,
1190.466,Single antennal touch,2,
1203.061,Random bump,1,
1203.38,head-to-head-interaction,6,2.063999999999851
1213.809,Single antennal touch,2,
1220.426,Random bump,1,
1263.006,Single antennal touch,2,
1278.884,Random bump,1,
1285.461,Random bump,1,
1428.994,head-to-head-interaction,6,4.657000000000153
1444.515,Single antennal touch,2,
1473.567,head-to-head-interaction,6,3.7259999999998854
1491.503,Single antennal touch,2,
1503.858,Random bump,1,
1533.826,Single antennal touch,2,
1542.748,Single antennal touch,2,
1580.382,Random bump,1,
1593.676,Random bump,1,
1611.641,Random bump,1,
1621.345,Random bump,1,
1639.406,Random bump,1,
1645.973,head-to-head-interaction,6,5.65300000000002
1657.809,Random bump,1,
1661.492,Single antennal touch,2,
1665.647,Single antennal touch,2,
1711.649,Random bump,1,
1743.727,Random bump,1,
1765.873,Single antennal touch,2,
1799.357,Single antennal touch,2,
1802.551,Single antennal touch,2,
1830.715,Single antennal touch,2,
1845.826,Single antennal touch,2,
1858.158,END,0,
