time,code,class,duration
19.399,Random bump,1,
22.985,Random bump,1,
61.117,Random bump,1,
98.708,Single antennal touch,2,
144.736,Random bump,1,
157.326,Random bump,1,
183.528,Single antennal touch,2,
203.746,Random bump,1,
228.364,Random bump,1,
252.563,Random bump,1,
265.082,Random bump,1,
306.758,Single antennal touch,2,
346.746,Random bump,1,
562.505,Single antennal touch,2,
579.578,Single antennal touch,2,
602.377,Single antennal touch,2,
615.656,Single antennal touch,2,
627.339,Single antennal touch,2,
672.673,Single antennal touch,2, 
691.177,Random bump,1,
709.707,Single antennal touch,2,
725.317,Random bump,1,
736.546,Single antennal touch,2,
745.011,Single antennal touch,2,
793.706,Random bump,1,
818.249,Random bump,1,
831.589,Random bump,1,
846.906,Random bump,1,
851.815,Single antennal touch,2,
864.583,Random bump,1, 
884.604,Single antennal touch,2,
896.625,Single antennal touch,2,
912.699,Random bump,1, 
928.21,Random bump,1,
941.69,Random bump,1,
1292.767,Single antennal touch,2,
1314.158,Single antennal touch,2,
1327.486,Single antennal touch,2,
1347.794,Random bump,1,
1380.522,Random bump,1,
1402.904,Random bump,1,
1409.333,Single antennal touch,2,
1418.15,Single antennal touch,2,
1772.374,Random bump,1,
1815.522,END,0,
