time,code,class,duration
16.243,Random bump,1,
31.977,Random bump,1,
33.148,Single antennal touch,2,
126.503,head-to-head-interaction,6,1.7859999999999872
144.851,Random bump,1,
153.812,Single antennal touch,2,
165.502,Random bump,1,
200.445,Random bump,1,
211.336,Single antennal touch,2,
352.383,Single antennal touch,2,
395.6,Single antennal touch,2,
430.482,Random bump,1,
459.046,Single antennal touch,2,
476.717,Random bump,1,
505.149,Random bump,1,
1273.362,head-to-head-interaction,6,2.9249999999999545
1314.068,Random bump,1,
1322.683,Single antennal touch,2,
1341.501,Single antennal touch,2,
1404.223,Random bump,1,
1436.029,Single antennal touch,2,
1692.599,Random bump,1,
1714.961,Single antennal touch,2,
1728.255,Single antennal touch,2,
1756.368,Single antennal touch,2,
1772.57,head-to-head-interaction,6,3.137000000000171
1810.297,Random bump,1,
1811.848,Random bump,1,
1815.522,END,0,
