time,code,class,duration
2.656,Single antennal touch,2,
372.611,Single antennal touch,2,
387.962,Single antennal touch,2,
394.107,Single antennal touch,2,
410.729,Avoidance,5,
425.659,Single antennal touch,2,
487.971,Random bump,1,
513.175,Single antennal touch,2,
542.43,Random bump,1,
542.402,Random bump,1,
554.101,Single antennal touch,2,
566.941,Random bump,1,
597.479,Single antennal touch,2,
713.959,Random bump,1,
735.059,Single antennal touch,2,
755.03,Random bump,1,
772.021,SRandom bump,1,
800.629,Random bump,1,
824.877,Single antennal touch,2,
839.132,Single antennal touch,2,
914.25,Single antennal touch,2,
980.711,Random bump,1,
1048.559,Single antennal touch,2,
1060.846,Single antennal touch,2,
1132.618,Single antennal touch,2,
1197.146,Random bump,1,
1220.872,Single antennal touch,2,
1481.645,Random bump,1,
1529.8,Random bump,1,
1553.997,Single antennal touch,2,
1575.885,Single antennal touch,2,
1584.96,Single antennal touch,2,
1605.896,Single antennal touch,2,
1636.893,Single antennal touch,2,
1658.85,Random bump,1,
1668.764,Single antennal touch,2,
1680.071,Avoidance,5,
1693.046,Single antennal touch,2,
1721.722,Avoidance,5,
1749.605,Random bump,1,
1764.814,Single antennal touch,2,
1780.107,Single antennal touch,2,
1838.904,END,0,
