time,code,class,duration
184.959,Random bump,1,
234.323,Random bump,1,
339.905,Single antennal touch,2,
388.099,Random bump,1,
442.568,Random bump,1,
480.131,Single antennal touch,2,
495.243,Single antennal touch,2,
509.79,Random bump,1,
544.428,Single antennal touch,2,
554.625,Single antennal touch,2,
571.765,Single antennal touch,2,
590.7,Single antennal touch,2,
846.815,head-to-head-interaction,6,6.548000000000002
918.471,Random bump,1,
920.917,Single antennal touch,2,
1079.751,Avoidance,5,
1165.936,Single antennal touch,2,
1178.857,Single antennal touch,2,
1182.179,Single antennal touch,2,
1195.253,Single antennal touch,2,
1200.21,Single antennal touch,2,
1239.704,Random bump,1,
1241.023,Random bump,1,
1253.871,Single antennal touch,2,
1261.718,Random bump,1,
1466.806,Random bump,1,
1492.879,head-to-head-interaction,6,2.5570000000000164
1505.57,Random bump,1,
1574.189,Random bump,1,
1628.685,Random bump,1,
1641.476,Single antennal touch,2,
1829.679,END,0,
