time,code,class,duration
0.461,Single antennal touch,2,
54.201,Single antennal touch,2,
74.988,Avoidance,5,
77.969,Random bump,1,
98.703,Random bump,1,
116.603,Avoidance,5,
150.988,Single antennal touch,2,
180.944,Single antennal touch,2,
221.857,Single antennal touch,2,
341.687,Random bump,1,
418.725,Random bump,1, 
464.273,Single antennal touch,2,
484.448,Random bump,1,
504.943,Single antennal touch,2,
546.075,Single antennal touch,2,
580.909,Single antennal touch,2,
606.809,Single antennal touch,2,
611.942,Random bump,1,
650.981,Single antennal touch,2,
653.03,Single antennal touch,2,
670.433,Random bump,1,
752.284,Random bump,1,
847.417,Single antennal touch,2,
854.631,Single antennal touch,2,
856.699,Random bump,1,
875.041,Random bump,1,
879.128,Random bump,1,
899.487,Single antennal touch,2,
928.717,Single antennal touch,2,
1226.873,Random bump,1,
1230.745,head-to-head-interaction,6,3.994000000000142
1249.391,Single antennal touch,2,
1253.243,Single antennal touch,2,
1258.108,Random bump,1,
1266.214,head-to-head-interaction,6,2.2999999999999545
1286.737,Single antennal touch,2,
1296.653,Single antennal touch,2,
1309.443,Single antennal touch,2,
1355.012,Random bump,1,
1369.591,Single antennal touch,2,
1373.198,Single antennal touch,2,
1379.422,Single antennal touch,2,
1387.365,Random bump,1,
1471.918,Single antennal touch,2,
1479.119,Single antennal touch,2,
1482.087,Single antennal touch,2,
1535.867,Random bump,1,
1564.523,Random bump,1,
1618.425,Random bump,1,
1667.43,Single antennal touch,2,
1676.582,Single antennal touch,2,
1709.795,Random bump,1,
1724.572,Single antennal touch,2,
1732.796,Single antennal touch,2,
1827.208,END,0,
