time,code,class,duration
573.072,Avoidance,5,
578.16,Single antennal touch,2,
591.995,Random bump,1,
645.666,Random bump,1,
700.027,Single antennal touch,2,
734.415,Single antennal touch,2,
739.835,Single antennal touch,2,
742.413,Single antennal touch,2,
830.031,Random bump,1,
900.07,Random bump,1,
924.132,Avoidance,5, 
936.115,Single antennal touch,2,
960.181,Single antennal touch,2,
977.868,Random bump,1,
1005.305,Single antennal touch,2,
1040.797,Random bump,1,
1068.879,Single antennal touch,2,
1089.634,Single antennal touch,2,
1126.779,Random bump,1,
1130.248,Single antennal touch,2,
1184.226,Single antennal touch,2,
1187.576,Random bump,1,
1414.609,Single antennal touch,2,
1432.785,Single antennal touch,2,
1456.674,head-to-head-interaction,6,3.883000000000038
1552.564,Random bump,1,
1561.057,Random bump,1,
1573.591,Random bump,1,
1827.208,END,0,
