time,code,class,duration
1016.104,Random bump,1,
1326.883,Single antennal touch,2,
1345.747,Random bump,1,
1352.272,head-to-head-interaction,6,2.8840000000000146
1374.146,Single antennal touch,2,
1391.086,Single antennal touch,2,
1411.644,Single antennal touch,2,
1465.813,head-to-head-interaction,6,3.783999999999878
1487.904,Random bump,1,
1495.529,Random bump,1,
1536.295,Random bump,1,
1539.417,Single antennal touch,2,
1549.289,Random bump,1,
1739.667,Random bump,1,
1752.142,head-to-head-interaction,6,4.252999999999929
1815.175,END,0,
