time,code,class,duration
225.68,Random bump,1,
262.773,Avoidance,5,
302.664,Single antennal touch,2,
340.452,Random bump,1,
343.017,Random bump,1,
364.438,Random bump,1,
381.445,Single antennal touch,2,
418.123,Single antennal touch,2,
440.099,Random bump,1,
486.122,Random bump,1,
541.889,Random bump,1,
605.164,Single antennal touch,2,
670.061,Single antennal touch,2,
676.74,Single antennal touch,2,
708.357,Single antennal touch,2,
745.452,Random bump,1,
996.927,Single antennal touch,2,
1031.612,Single antennal touch,2,
1456.72,Random bump,1,
1494.602,Single antennal touch,2,
1525.157,Random bump,1,
1541.283,Random bump,1,
1579.383,Single antennal touch,2,
1584.675,Single antennal touch,2,
1594.327,Single antennal touch,2,
1618.861,Single antennal touch,2,
1631.538,Random bump,1,
1633.28,head-to-head-interaction,6,2.2560000000000855
1658.009,Random bump,1,
1668.736,Random bump,1,
1677.054,Single antennal touch,2,
1688.586,Random bump,1,
1691.653,Single antennal touch,2,
1713.604,Random bump,1,
1754.686,Random bump,1,
1770.799,Random bump,1,
1780.663,Single antennal touch,2,
1978.656,END,0,
