"","Moyenne_cm","Ecart_Type_cm"
"zero_no",4.1121526295571,1.11827626621702
"high_no",3.61961267117873,1.34878231696025
"high_yes",4.6548309105468,1.01191796759673
"low_no",5.08679926486648,1.32681527517346
"low_yes",3.90652602630849,1.81402690530582
"zero_yes",4.76591025586896,0.613852969796183
