"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV14","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Sodalis","praecaptivus"
"ASV32","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Sodalis",""
