"ASV","group1","group2","p_bonf","p_fdr","sig_fdr","sig_symbol"
"ASV199","Ctr","AntLow+hom",1,1,FALSE,"ns"
"ASV25","AntHigh+hom","AntHigh",0.133291822514062,0.339763469153491,FALSE,"ns"
"ASV25","AntLow","AntHigh",1,1,FALSE,"ns"
"ASV25","AntLow+hom","AntHigh",1,1,FALSE,"ns"
"ASV25","Ctr","AntHigh",1,1,FALSE,"ns"
"ASV25","AntLow","AntHigh+hom",0.133291822514062,0.339763469153491,FALSE,"ns"
"ASV25","AntLow+hom","AntHigh+hom",0.133291822514062,0.339763469153491,FALSE,"ns"
"ASV25","Ctr","AntHigh+hom",0.133291822514062,0.339763469153491,FALSE,"ns"
"ASV25","AntLow+hom","AntLow",1,1,FALSE,"ns"
"ASV25","Ctr","AntLow",1,1,FALSE,"ns"
"ASV25","Ctr","AntLow+hom",1,1,FALSE,"ns"
"ASV3","AntHigh+hom","AntHigh",0.267423165900347,0.543203305735079,FALSE,"ns"
"ASV3","AntLow","AntHigh",0.0138233597078585,0.105708044824801,FALSE,"ns"
"ASV3","AntLow+hom","AntHigh",0.0481953076508216,0.223763928378815,FALSE,"ns"
"ASV3","Ctr","AntHigh",0.0481953076508216,0.223763928378815,FALSE,"ns"
"ASV3","AntLow","AntHigh+hom",0.267423165900347,0.543203305735079,FALSE,"ns"
"ASV3","AntLow+hom","AntHigh+hom",0.504208829921085,0.993138604390016,FALSE,"ns"
"ASV3","Ctr","AntHigh+hom",0.639412957510253,1,FALSE,"ns"
"ASV3","AntLow+hom","AntLow",0.639412957510253,1,FALSE,"ns"
"ASV3","Ctr","AntLow",0.425937065328791,0.851874130657582,FALSE,"ns"
"ASV3","Ctr","AntLow+hom",0.639682107998689,1,FALSE,"ns"
"ASV32","AntHigh+hom","AntHigh",0.00131610627651657,0.0142578179955962,TRUE,"*"
"ASV32","AntLow","AntHigh",0.999999999999998,1,FALSE,"ns"
"ASV32","AntLow+hom","AntHigh",0.000817231677168924,0.0109865481567861,TRUE,"*"
"ASV32","Ctr","AntHigh",0.999999999999998,1,FALSE,"ns"
"ASV32","AntLow","AntHigh+hom",0.00121880879743053,0.0142578179955962,TRUE,"*"
"ASV32","AntLow+hom","AntHigh+hom",0.999999999999998,1,FALSE,"ns"
"ASV32","Ctr","AntHigh+hom",0.000845119088983548,0.0109865481567861,TRUE,"*"
"ASV32","AntLow+hom","AntLow",0.000817231677168924,0.0109865481567861,TRUE,"*"
"ASV32","Ctr","AntLow",0.999999999999998,1,FALSE,"ns"
"ASV32","Ctr","AntLow+hom",0.000817231677168924,0.0109865481567861,TRUE,"*"
"ASV57","AntHigh+hom","AntHigh",0.0328932483111092,0.178171761685175,FALSE,"ns"
"ASV57","AntLow","AntHigh",0.999999999999999,1,FALSE,"ns"
"ASV57","AntLow+hom","AntHigh",0.265135710901322,0.543203305735079,FALSE,"ns"
"ASV57","Ctr","AntHigh",0.999999999999999,1,FALSE,"ns"
"ASV57","AntLow","AntHigh+hom",0.0328932483111092,0.178171761685175,FALSE,"ns"
"ASV57","AntLow+hom","AntHigh+hom",0.265135710901322,0.543203305735079,FALSE,"ns"
"ASV57","Ctr","AntHigh+hom",0.0328932483111092,0.178171761685175,FALSE,"ns"
"ASV57","AntLow+hom","AntLow",0.265135710901322,0.543203305735079,FALSE,"ns"
"ASV57","Ctr","AntLow",0.999999999999999,1,FALSE,"ns"
"ASV57","Ctr","AntLow+hom",0.265135710901322,0.543203305735079,FALSE,"ns"
"ASV6","AntHigh+hom","AntHigh",0.74625213952929,1,FALSE,"ns"
"ASV6","AntLow","AntHigh",0.0219976258229515,0.136175778903986,FALSE,"ns"
"ASV6","AntLow+hom","AntHigh",0.200058694080043,0.472866004189193,FALSE,"ns"
"ASV6","Ctr","AntHigh",0.253190564228711,0.543203305735079,FALSE,"ns"
"ASV6","AntLow","AntHigh+hom",0.0219976258229515,0.136175778903986,FALSE,"ns"
"ASV6","AntLow+hom","AntHigh+hom",0.200058694080043,0.472866004189193,FALSE,"ns"
"ASV6","Ctr","AntHigh+hom",0.200058694080043,0.472866004189193,FALSE,"ns"
"ASV6","AntLow+hom","AntLow",0.255943731455387,0.543203305735079,FALSE,"ns"
"ASV6","Ctr","AntLow",0.200058694080043,0.472866004189193,FALSE,"ns"
"ASV6","Ctr","AntLow+hom",0.74625213952929,1,FALSE,"ns"
